year,TeamA,TeamB,matchup_prob
2016,1112,1122,0.9934636208115786
2016,1112,1124,0.7173672785068378
2016,1112,1138,0.9941173122228425
2016,1112,1139,0.9448021387401724
2016,1112,1151,0.956967803980273
2016,1112,1153,0.9464351858618166
2016,1112,1160,0.9571544747137505
2016,1112,1167,0.9949653941161093
2016,1112,1173,0.8118113256988266
2016,1112,1181,0.022314135761937186
2016,1112,1195,0.9929532405546545
2016,1112,1201,0.9964174556377259
2016,1112,1211,0.898108664608095
2016,1112,1453,0.9950395455706394
2016,1112,1214,0.9926916458671657
2016,1112,1218,0.9860150631608908
2016,1112,1221,0.9925148914287862
2016,1112,1231,0.5677694158343067
2016,1112,1233,0.9971460881356723
2016,1112,1234,0.7604950252138752
2016,1112,1235,0.02607827354498834
2016,1112,1242,0.010020292032607072
2016,1112,1246,0.35518922594107327
2016,1112,1268,0.5786515116731079
2016,1112,1276,0.9130886814070353
2016,1112,1277,0.08039912079704523
2016,1112,1320,0.9595523170491612
2016,1112,1323,0.5438208013755091
2016,1112,1328,0.1626668132130525
2016,1112,1332,0.08088230498261946
2016,1112,1333,0.6350498422487921
2016,1112,1338,0.9529759282293936
2016,1112,1344,0.5059336827025318
2016,1112,1345,0.8273868305438763
2016,1112,1371,0.852987770026293
2016,1112,1372,0.9938757911846051
2016,1112,1392,0.9876115562841699
2016,1112,1393,0.9133282116378236
2016,1112,1396,0.9206491829883773
2016,1112,1400,0.3767889850930075
2016,1112,1401,0.14253648268865463
2016,1112,1403,0.41722885252914704
2016,1112,1163,0.81124215659537
2016,1112,1314,0.02796291894431264
2016,1112,1421,0.9956148678241041
2016,1112,1423,0.9962236748933491
2016,1112,1425,0.8899832146019704
2016,1112,1428,0.054202689927937774
2016,1112,1433,0.9342004894351085
2016,1112,1437,0.0654605994337242
2016,1112,1451,0.9960919334678596
2016,1112,1452,0.15864007589709206
2016,1112,1455,0.9687509938534685
2016,1112,1458,0.6705346616629273
2016,1112,1462,0.08794123825092907
2016,1112,1463,0.943978874920347
2016,1112,1114,0.9118879653215082
2016,1112,1143,0.36282953036064286
2016,1112,1274,0.10814626304117719
2016,1112,1292,0.996791125603113
2016,1112,1386,0.8183437794253627
2016,1112,1355,0.9560297437642721
2016,1112,1438,0.07221108514822243
2016,1122,1112,0.006536379188421448
2016,1122,1124,0.016425241650023476
2016,1122,1138,0.5264820419965349
2016,1122,1139,0.10121810509322786
2016,1122,1151,0.1276394963203972
2016,1122,1153,0.1041441069941837
2016,1122,1160,0.12814613951358458
2016,1122,1167,0.5652651568787156
2016,1122,1173,0.027598934708345447
2016,1122,1181,1.5014151525567597e-4
2016,1122,1195,0.48108444244070525
2016,1122,1201,0.6466346548101066
2016,1122,1211,0.05481432055049401
2016,1122,1453,0.5689261100121832
2016,1122,1214,0.47192653612840674
2016,1122,1218,0.31688522437269856
2016,1122,1221,0.4659309776516992
2016,1122,1231,0.00856849379946556
2016,1122,1233,0.6968605898394556
2016,1122,1234,0.02046386077559122
2016,1122,1235,1.7614225336372744e-4
2016,1122,1242,6.659021780369854e-5
2016,1122,1246,0.0036111176785765483
2016,1122,1268,0.008954769220351369
2016,1122,1276,0.06465383079420654
2016,1122,1277,5.74893564248687e-4
2016,1122,1320,0.13501146010670764
2016,1122,1323,0.007782381953105582
2016,1122,1328,0.0012765304534005592
2016,1122,1332,5.786504358650269e-4
2016,1122,1333,0.011319197256890548
2016,1122,1338,0.11764902660157336
2016,1122,1344,0.00669233088179986
2016,1122,1345,0.030572795406155876
2016,1122,1371,0.03677089542711187
2016,1122,1372,0.5163812831543609
2016,1122,1392,0.3440520033861663
2016,1122,1393,0.06483683087108552
